Attendance,Internal Marks,Class Participation,Academic Activities,Sleep Time,Study Time,Final Marks
74,74,45,96,38,93,97
43,33,68,92,91,44,100
54,39,43,50,69,46,84
76,97,33,82,79,82,43
43,38,81,49,34,35,31
90,76,91,47,84,71,85
56,69,79,93,81,38,87
93,82,58,57,58,90,98
90,60,95,58,83,36,60
93,49,87,38,85,57,51
60,100,96,47,60,56,72
73,62,95,67,58,90,98
40,64,61,98,88,69,93
47,85,80,82,42,34,46
66,100,67,98,48,39,42
65,70,51,61,53,52,64
33,48,31,70,94,62,53
87,32,34,94,66,35,92
64,63,59,44,64,61,57
66,82,34,52,79,73,35
98,52,77,49,39,60,94
74,37,91,96,100,41,65
74,65,30,64,54,48,51
84,31,95,48,40,81,46
70,96,65,60,45,86,47
35,42,74,36,60,84,37
37,44,35,32,83,84,84
58,40,99,87,59,62,97
87,66,98,95,89,83,58
51,50,90,43,100,72,97
79,96,83,72,34,84,100
65,44,54,31,84,49,68
41,99,94,59,56,56,85
69,61,31,53,79,95,94
57,94,81,95,41,99,97
98,99,75,93,89,67,92
94,99,53,73,91,35,91
78,94,52,72,37,71,84
70,65,86,50,96,72,54
95,90,49,67,49,55,92
97,68,73,97,74,95,93
35,42,100,68,40,67,93
34,32,93,97,93,94,97
90,61,80,74,95,87,85
100,84,80,52,37,48,55
86,79,62,89,60,91,75
41,83,64,69,38,39,42
55,58,50,34,50,40,31
81,44,50,58,96,100,100
46,61,67,48,65,31,39
52,83,39,58,93,47,39
37,93,48,67,39,95,98
51,42,81,58,63,99,98
86,79,94,86,74,50,95
45,54,86,97,80,81,95
45,74,79,80,32,89,35
37,32,97,91,78,55,45
45,61,41,48,100,83,54
31,87,35,88,98,32,90
79,41,56,61,40,77,84
43,93,36,92,35,40,94
94,62,34,32,35,93,87
35,72,40,93,90,33,99
60,36,55,69,98,90,91
36,45,86,57,58,54,68
73,54,61,92,62,39,45
43,79,100,67,32,48,79
72,50,70,43,36,47,32
80,85,95,82,64,82,76
87,99,94,76,36,77,99
67,42,74,89,60,59,42
89,58,97,85,56,83,76
37,93,45,77,46,90,63
79,64,35,99,38,31,95
55,96,96,64,61,59,87
85,94,77,95,74,67,100
87,92,65,65,68,70,82
37,75,47,57,79,95,44
94,75,55,96,56,91,88
42,60,75,31,91,52,39
79,30,54,30,92,35,40
75,74,58,95,49,30,86
96,39,90,44,43,82,58
45,96,67,32,37,79,99
97,42,96,79,100,53,96
98,56,98,82,76,77,93
45,37,61,95,66,93,90
80,61,62,42,86,100,85
47,53,43,83,97,75,88
41,57,78,31,49,57,62
76,82,36,85,51,85,45
61,84,40,74,72,84,77
88,53,77,73,60,95,90
49,45,49,77,71,37,66
46,49,45,66,86,60,73
40,71,84,37,68,87,57
86,49,71,66,91,91,62
91,94,58,37,78,57,93
98,83,63,46,30,42,86
70,48,62,49,74,93,84
61,98,42,53,37,60,74
71,96,41,57,67,74,88
82,87,98,75,80,89,97
95,59,67,81,39,90,88
36,99,31,66,95,79,89
38,86,94,61,35,32,42
42,45,93,36,51,44,49
100,54,31,81,59,56,68
93,94,52,65,85,36,33
65,91,37,44,85,77,87
42,79,40,82,54,70,38
76,97,78,70,91,33,97
84,92,100,84,97,47,90
98,41,54,91,51,56,98
55,36,42,70,72,92,75
37,94,58,53,82,94,70
41,36,33,30,59,49,32
46,47,87,64,38,90,87
59,36,40,35,90,86,90
58,58,96,79,77,82,96
30,33,45,52,95,67,61
69,39,69,89,90,43,99
48,44,57,32,48,83,34
77,82,48,92,54,54,99
90,99,45,36,46,63,36
93,93,85,37,35,99,44
77,78,59,95,63,65,100
87,32,68,75,72,85,77
74,88,34,86,36,91,96
96,59,50,95,79,93,48
64,50,67,96,55,97,98
34,50,96,78,43,81,99
54,93,76,50,91,89,94
51,54,43,49,42,93,75
37,47,80,30,88,32,52
88,48,92,89,98,95,99
35,67,67,43,33,54,33
46,96,49,93,99,80,92
81,55,76,72,82,99,89
56,75,42,92,73,60,59
88,44,99,71,62,91,90
34,66,74,83,83,39,34
99,31,71,88,60,37,66
89,63,73,69,96,53,64
91,59,94,58,54,63,89
91,48,37,86,42,65,94
73,43,36,86,67,52,40
46,99,78,92,72,76,100
72,80,67,35,40,37,62
90,52,93,43,62,68,86
95,90,88,89,83,84,87
92,87,92,81,30,74,93
50,38,87,58,62,54,78
47,70,46,31,67,69,52
88,85,93,79,42,67,94
63,83,31,92,58,41,100
81,99,91,100,77,59,98
100,93,47,37,46,81,52
42,79,62,34,70,32,35
39,39,58,46,57,31,53
90,64,37,81,65,87,91
94,62,62,32,58,58,88
65,73,51,49,100,40,87
62,35,70,66,97,73,85
65,94,30,50,60,44,89
50,97,93,31,65,97,88
99,92,46,95,40,49,94
84,37,48,85,86,51,49
41,79,100,77,70,78,88
93,80,89,97,87,70,99
99,35,56,67,41,92,88
68,37,45,45,66,34,33
58,62,63,54,33,30,61
60,92,95,40,47,37,30
93,56,79,65,65,39,90
74,32,66,40,99,36,93
61,46,38,100,40,81,59
100,72,50,40,58,62,89
93,70,96,31,98,86,95
61,40,63,80,35,73,62
79,69,60,63,52,65,62
87,57,93,88,47,90,31
93,93,76,45,92,67,100
46,55,50,95,99,64,86
74,50,36,60,58,90,34
99,77,36,76,96,31,89
89,99,33,75,39,100,98
49,94,93,90,85,72,98
56,96,91,43,33,30,81
61,92,95,39,30,80,47
62,94,67,98,57,40,87
30,48,32,37,52,49,43
32,67,59,70,77,98,92
52,97,71,82,45,87,70
54,35,68,58,86,86,58
70,95,30,77,54,86,62
43,45,94,46,49,40,41
96,90,42,38,69,97,80
86,44,68,79,37,49,31
73,45,81,80,35,65,51
36,94,61,63,66,95,96
47,60,34,88,34,95,76
50,36,46,88,93,70,92
78,33,83,47,34,48,55
39,50,56,55,95,100,56
98,91,86,45,44,96,98
74,91,81,100,52,77,66
98,64,45,63,98,30,89
66,84,69,74,40,83,71
97,47,47,52,45,47,86
78,96,58,61,98,51,95
61,60,95,44,96,67,95
45,96,83,49,87,63,46
93,84,72,66,52,51,92
85,37,94,78,49,93,94
74,91,98,51,68,44,81
49,53,49,60,45,55,44
61,78,76,33,62,78,61
98,66,75,89,36,48,94
74,33,98,85,93,32,94
45,75,66,77,64,97,31
97,73,58,46,82,60,96
39,87,40,74,71,81,69
31,41,51,30,81,50,42
30,40,75,36,36,91,88
80,49,76,99,64,100,98
97,59,42,55,45,81,69
36,57,35,47,70,87,55
33,42,90,51,82,92,93
51,38,97,47,72,37,100
59,61,92,61,41,95,62
39,91,96,90,45,80,90
83,37,48,30,61,77,52
31,91,96,54,88,90,89
30,78,33,97,86,95,100
94,94,99,88,84,49,85
33,50,69,63,35,42,76
48,86,77,34,56,37,61
35,71,97,48,32,74,97
45,52,57,58,63,46,65
73,52,56,32,38,31,37
78,66,85,100,45,78,50
53,99,94,99,59,47,65
66,42,43,98,84,63,39
89,44,56,48,35,62,77
85,67,44,82,76,38,74
57,81,68,99,59,68,56
96,30,60,42,46,83,53
92,95,47,75,49,51,95
79,45,57,48,46,87,56
56,59,97,82,86,88,56
30,90,32,72,49,39,90
45,69,47,71,91,83,34
53,55,81,39,32,88,39
34,48,38,33,80,36,36
35,61,31,59,37,90,70
81,79,39,92,68,94,94
96,88,66,46,32,35,93
61,32,30,72,72,74,57
44,80,79,96,78,49,55
79,50,30,31,46,55,53
99,39,92,37,55,62,97
83,95,60,99,95,44,89
66,49,30,87,91,32,49
59,54,46,37,69,87,31
66,46,31,87,81,68,67
53,41,96,48,100,35,46
96,58,88,70,75,95,85
58,96,67,99,76,67,73
58,32,61,99,55,99,87
99,68,33,48,99,44,93
82,95,70,48,43,100,88
94,97,45,56,35,32,43
92,43,81,94,66,42,75
73,76,64,100,80,96,87
46,54,46,55,33,96,82
53,71,95,48,53,92,94
86,44,99,62,63,65,86
59,61,44,79,63,95,51
90,41,49,93,37,59,90
97,69,44,84,93,45,99
31,73,86,61,56,91,92
49,58,77,92,95,93,98
77,56,66,92,96,46,94
72,60,43,59,62,98,92
43,36,68,68,47,59,37
77,47,95,35,45,74,77
36,65,36,75,79,52,31
96,98,72,36,71,72,69
37,88,78,92,58,69,67
94,92,51,44,77,59,81
59,30,54,46,42,45,73
33,31,42,51,92,42,51
95,40,76,55,75,89,36
33,71,77,69,45,42,78
97,80,73,95,55,36,95
63,71,96,74,98,69,86
53,45,65,54,96,75,96
98,46,83,76,49,92,68
98,85,83,91,85,51,77
99,54,53,93,38,39,39
49,85,38,84,59,41,30
100,54,85,44,43,35,73
98,92,88,90,84,69,98
100,62,100,88,100,93,85
42,98,49,100,50,53,94
53,44,57,96,95,55,95
97,52,46,66,64,43,92
50,46,88,44,32,83,37
63,39,92,42,51,39,40
53,48,97,97,33,95,88
40,87,87,77,75,90,92
56,60,81,56,95,34,80
62,69,69,69,77,99,93
41,96,92,70,51,71,96
69,94,88,45,90,64,84
59,41,98,59,46,100,51
45,38,39,97,86,65,42
50,78,75,87,90,35,31
76,87,69,85,36,64,69
35,30,97,56,73,46,51
55,49,81,43,62,74,59
79,93,99,71,59,93,88
97,82,31,99,61,79,87
63,36,93,48,54,42,92
90,96,83,69,33,74,98
45,42,100,86,59,98,86
92,31,76,45,93,97,88
61,66,93,50,60,92,77
50,91,70,69,69,38,94
96,48,94,55,46,80,100
90,49,81,33,77,67,40
51,53,55,96,69,79,84
76,53,35,84,54,64,83
92,79,48,83,31,86,62
94,100,80,90,55,36,82
39,58,42,43,48,76,44
46,75,50,33,58,37,42
98,67,98,61,89,95,56
51,60,30,96,88,46,63
57,47,98,40,98,60,100
68,75,56,46,67,71,66
57,30,46,92,50,87,63
78,62,38,33,30,85,80
72,94,33,45,32,90,39
47,93,36,61,31,100,37
31,48,52,91,82,65,86
78,96,87,76,92,76,87
36,78,60,70,33,40,34
32,92,99,83,66,30,50
91,88,83,99,68,66,90
82,100,92,91,50,64,92
52,85,85,93,64,63,82
83,47,67,47,93,62,92
59,47,43,45,96,83,99
90,67,36,82,59,34,46
98,78,76,71,81,39,43
44,49,55,83,80,97,95
88,58,71,65,59,62,81
94,76,80,45,91,66,61
41,76,94,98,74,83,100
30,100,46,83,89,65,95
40,99,67,31,50,57,40
60,87,33,38,47,79,83
40,71,44,58,75,36,53
60,39,38,39,88,67,54
71,40,49,52,37,64,71
96,39,55,79,79,99,86
99,62,56,85,91,44,88
69,72,65,74,83,66,81
74,54,76,63,74,99,88
100,73,61,33,98,100,93
70,61,98,97,97,64,85
35,100,50,65,94,81,78
46,39,36,83,54,97,80
89,66,81,63,43,76,77
60,95,96,45,51,30,96
61,33,90,100,77,34,100
99,57,41,98,55,53,96
42,43,80,33,70,58,32
90,71,35,76,54,30,52
38,68,45,35,96,99,99
35,65,45,50,37,70,57
93,66,95,100,37,70,97
65,30,55,32,32,40,65
90,91,89,92,30,72,87
72,36,68,62,99,60,92
30,34,71,59,77,75,36
47,80,91,35,63,53,88
96,95,31,47,44,67,34
53,97,70,53,52,31,62
40,73,44,46,94,47,88
67,80,46,93,71,80,97
67,71,51,86,93,67,88
51,42,88,34,67,94,96
55,90,49,92,83,65,97
84,89,49,67,64,90,90
72,55,72,95,89,55,65
98,53,36,100,95,94,99
49,97,72,78,99,60,90
89,31,69,44,53,98,42
89,56,62,60,97,78,91
41,54,53,88,98,30,78
34,98,85,35,100,59,95
50,44,91,34,70,45,97
39,40,63,97,65,81,31
34,53,83,63,65,46,64
61,70,74,39,91,38,55
55,31,90,88,86,68,31
39,64,63,33,36,35,60
70,98,94,59,84,58,79
98,91,32,95,36,67,89
83,54,98,71,30,65,100
81,63,94,81,45,99,87
81,43,41,86,98,64,78
32,58,94,60,32,60,44
88,53,80,90,61,53,75
95,84,48,92,87,100,47
92,50,82,32,81,100,97
78,42,74,73,39,30,49
82,45,30,49,96,49,44
70,95,53,52,82,81,99
57,79,71,91,30,37,90
74,91,59,68,33,46,55
35,98,35,92,71,52,92
66,93,62,33,46,59,88
48,86,89,30,57,32,77
55,43,98,49,80,100,88
80,41,46,78,50,31,47
73,45,55,57,76,74,54
90,45,94,38,75,42,93
35,97,33,77,44,78,98
93,92,55,72,54,41,93
38,48,80,59,32,99,36
90,70,68,55,49,42,70
100,96,63,58,39,95,45
91,32,97,30,57,61,94
93,70,47,69,48,88,63
45,78,68,98,63,52,95
95,50,44,97,91,83,89
91,48,97,59,94,98,89
99,98,41,87,80,50,91
95,33,32,52,66,36,31
55,100,53,34,48,47,68
49,61,38,94,53,50,87
31,40,87,66,68,34,45
41,47,67,59,79,58,53
43,98,50,63,52,50,91
44,85,44,61,53,97,63
78,40,61,73,42,95,84
82,72,72,44,90,81,64
72,30,58,38,60,59,74
77,45,30,80,90,100,91
49,50,35,78,49,50,48
56,44,55,96,42,87,97
60,64,72,31,100,79,49
46,81,34,97,60,68,92
60,48,92,34,72,45,86
37,69,48,99,60,36,85
46,67,85,71,91,90,95
91,59,66,65,44,49,58
79,49,58,94,99,41,46
31,91,86,60,59,39,95
84,93,65,72,66,30,92
94,84,100,49,36,74,85
66,99,46,46,31,35,34
38,58,97,93,43,74,84
55,54,78,32,92,52,98
92,33,80,95,93,87,88
88,77,54,76,98,71,98
44,40,71,47,67,32,43
94,61,86,87,86,60,79
57,71,45,37,58,40,56
93,32,99,83,95,94,87
38,96,51,63,45,100,99
71,100,59,35,90,47,30
63,91,68,35,48,88,42
59,48,76,73,72,46,34
89,73,72,41,59,63,57
59,84,87,91,65,59,92
35,92,37,89,36,53,99
96,89,39,46,68,93,88
44,73,58,45,90,99,32
96,91,50,83,82,31,66
91,47,57,89,42,95,90
62,40,78,36,58,98,40
30,56,45,55,68,48,44
90,36,58,58,39,43,90
71,52,47,76,74,86,62
41,61,83,85,98,48,69
77,57,66,71,89,63,71
91,98,87,100,85,51,97
45,94,40,59,92,99,94
76,36,54,63,51,93,89
72,50,46,93,98,90,75
73,47,53,52,91,96,86
36,46,91,66,75,70,54
40,91,84,81,95,86,73
43,40,58,78,55,35,80
37,48,50,91,96,77,89
68,64,31,77,90,94,89
62,73,42,39,97,95,95
57,42,83,72,75,68,61
41,81,59,97,55,70,85
41,73,31,93,50,91,94
59,51,50,95,89,54,90
79,77,58,75,84,34,59
34,68,92,39,69,72,96
84,68,49,38,37,34,49
94,80,91,82,74,89,76
86,79,39,62,50,66,43
84,35,45,53,66,74,72
75,52,45,82,81,97,76
46,67,42,35,72,65,30
92,80,80,92,64,86,87
59,64,83,47,59,87,67
59,31,62,51,97,98,41
99,62,81,42,99,68,88
60,94,53,59,70,75,99
100,94,44,94,47,59,98
61,32,70,63,58,73,43
59,73,83,65,75,58,77
80,84,91,77,98,98,99
48,88,93,38,48,44,65
95,60,37,56,43,49,69
83,41,31,66,60,92,41
59,53,63,39,97,33,75
62,78,74,95,50,71,85
79,44,70,69,100,86,49
97,36,30,85,90,81,91
43,89,96,70,35,43,32
80,48,62,96,41,30,96
40,96,82,52,72,42,46
67,52,91,32,90,53,89
41,54,84,87,80,46,36
47,69,62,78,91,73,89
34,37,83,39,68,63,80
58,35,92,79,82,86,89
94,40,71,75,40,65,95
67,38,76,75,100,94,85
75,85,83,92,47,65,71
30,82,45,59,51,68,48
33,90,97,73,43,49,86
90,54,40,52,60,87,59
82,34,31,86,43,95,86
78,40,46,66,96,51,96
93,71,95,31,39,45,39
80,31,83,33,49,99,47
52,100,53,56,68,41,49
36,76,46,65,80,98,92
92,92,34,94,43,52,98
61,56,92,96,36,39,92
50,50,33,33,85,99,48
39,47,61,68,44,97,85
64,56,54,95,32,77,42
71,62,38,79,85,73,50
35,71,53,63,90,92,87
64,30,39,60,76,82,35
95,91,62,86,30,51,85
37,30,73,51,94,55,46
31,37,70,93,91,64,85
72,64,96,57,57,91,93
46,56,76,97,71,81,85
40,53,50,67,65,36,75
61,36,73,91,99,73,90
81,45,56,62,87,98,89
35,36,98,46,30,95,85
38,100,42,87,39,83,69
100,38,100,35,63,36,51
75,63,39,42,88,76,37
94,30,96,97,47,39,88
69,54,92,56,76,49,45
50,58,88,87,41,57,76
52,72,82,49,57,86,60
59,96,36,100,42,45,94
56,100,85,73,36,36,82
42,40,50,48,53,56,42
53,76,98,83,93,75,76
62,67,76,77,93,62,91
41,32,100,86,34,35,41
69,40,37,43,97,37,33
97,62,97,86,99,94,89
76,40,91,48,39,95,77
33,30,47,51,46,33,45
93,85,60,35,93,41,84
68,99,83,62,98,61,85
32,91,43,41,42,69,35
44,69,39,92,36,98,85
96,38,45,91,66,98,85
64,50,98,69,82,50,53
62,38,80,37,36,100,62
92,54,50,77,44,97,85
47,59,70,91,79,91,96
48,46,31,80,99,60,65
64,30,87,91,80,64,38
51,69,94,53,86,67,96
62,77,46,97,50,47,85
79,35,89,73,93,69,96
42,65,46,71,90,47,99
32,37,99,30,83,86,96
100,61,30,55,65,34,52
92,72,94,72,71,72,96
99,43,34,65,31,39,56
94,32,81,40,68,60,96
52,43,70,30,91,38,52
66,43,96,97,47,99,82
78,96,75,39,74,46,90
64,76,59,75,98,42,98
100,82,31,86,62,42,57
46,86,77,57,71,36,60
85,65,30,78,88,53,73
71,85,32,81,100,64,79
45,91,77,98,45,97,93
61,77,36,40,58,64,39
33,41,71,42,69,62,43
65,97,70,36,80,69,94
49,45,37,72,38,44,53
100,96,38,99,56,80,88
90,41,89,89,96,44,51
59,45,62,93,75,60,99
55,89,96,37,74,92,99
71,38,48,35,86,39,49
51,31,33,47,94,37,40
65,50,61,47,62,38,47
86,98,58,68,45,97,95
43,82,83,83,91,75,38
90,61,69,83,88,89,59
65,83,77,53,36,36,48
32,49,49,66,32,38,51
50,85,86,81,42,60,51
94,47,57,34,83,61,40
83,56,62,60,67,87,62
91,57,82,53,53,67,93
64,37,50,71,73,99,41
89,45,84,77,47,76,57
72,43,66,39,44,72,35
34,61,75,50,71,34,42
86,93,39,31,88,34,58
93,91,98,97,33,83,97
38,97,83,95,76,49,85
77,85,55,60,43,74,39
99,56,34,59,52,45,77
78,37,50,63,95,44,95
76,78,86,79,42,92,75
70,58,62,64,75,58,68
38,46,54,90,82,45,48
92,48,97,89,87,58,92
83,57,92,77,84,88,90
78,100,53,50,50,88,31
43,46,54,63,94,61,81
47,54,31,98,80,88,54
100,42,94,66,50,45,95
90,69,92,45,40,32,44
37,33,72,82,92,36,79
56,79,98,78,31,98,99
89,66,31,73,45,57,69
95,30,41,82,71,35,84
36,75,39,94,99,50,92
35,84,33,50,70,75,81
